qid,Len,P31,P1556,#
,"Addo, Peter Martey",Q5,addo.peter-martey,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adem, Abdullahi Rashid",Q5,adem.abdullahi-rashid,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Rashid Adem, Abdullahi",Q5,adem.abdullahi-rashid,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adem, Alejandro",Q5,adem.alejandro,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Adhikari, Bibhas",Q5,adhikari.bibhas,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adiprasito, Karim",Q5,adiprasito.karim-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Adjé, Assalé",Q5,adje.assale,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adly, Samir",Q5,adly.samir,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adrovic, Danko",Q5,adrovic.danko,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adsuara, J. E.",Q5,adsuara.j-e,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Adve, Vikram",Q5,adve.vikram-s,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Adzhemyan, L. Ts.",Q5,adzhemyan.loran-ts,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Afkhami, Shahriar",Q5,afkhami.shahriar,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Afonso, Filipe",Q5,afonso.filipe,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Afrati, Foto N.",Q5,afrati.foto-n,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Afsharian, Mohsen",Q5,afsharian.mohsen,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Afzal, Sajjad",Q5,afzal.sajjad,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agarwal, Anurag",Q5,agarwal.anurag,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agarwal, Nitin",Q5,agarwal.nitin,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agarwal, Pankaj K.",Q5,agarwal.pankaj-kumar,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agarwal, Sachin",Q5,agarwal.sachin,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agarwal, Y. K.",Q5,agarwal.yogesh-kumar,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Agathos, Alexander",Q5,agathos.alexander,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agbaglah, Gilou",Q5,agbaglah.gilou,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aghajafari, Ramin",Q5,aghajafari.ramin,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aghdam, Amir G.",Q5,aghdam.amir-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Agheli, B.",Q5,agheli.bahram,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aghezzaf, El-Houssaine",Q5,aghezzaf.el-houssaine,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aghili, Joubine",Q5,aghili.joubine,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agnarsson, Geir",Q5,agnarsson.geir,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agostinelli, Claudio",Q5,agostinelli.claudio,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agoujil, S.",Q5,agoujil.said,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Agre, Keith M.",Q5,agre.keith-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aguda, Baltazar D.",Q5,aguda.baltazar-d,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Oliveira, Hime A. jun.",Q5,aguiar-e-oliveira.hime-jun,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aguiar, Maíra",Q5,aguiar.maira,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Madeira, J. F. A.",Q5,aguilar-madeira.jose-firmino,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aguilar-Madera, C. G.",Q5,aguilar-madera.carlos-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aguilera-Venegas, Gabriel",Q5,aguilera-venegas.gabriel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aguilera, Néstor E.",Q5,aguilera.nestor-e,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aguiló-Gost, F.",Q5,aguilo-gost.francesc,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aguirre, Nazareno",Q5,aguirre.nazareno-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aguirre, Pablo",Q5,aguirre.pablo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Agullo, Emmanuel",Q5,agullo.emmanuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahangari, Fatemeh",Q5,ahangari.fatemeh,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahangari, Fatemeh",Q5,ahangari.fatemeh,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahbli, K.",Q5,ahbli.khalid,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Åhlander, K.",Q5,ahlander.krister,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahlborg, Mandy",Q5,ahlborg.mandy,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahlfeld, R.",Q5,ahlfeld.richard,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmad, Adeel",Q5,ahmad.adeel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmad, F.",Q5,ahmad.fayyaz,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmad, Ibrahim A.",Q5,ahmad.ibrahim-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmadi, Amir Ali",Q5,ahmadi.amir-ali,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmadi, Majid",Q5,ahmadi.majid,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmadi, Mohamadreza",Q5,ahmadi.mohamadreza,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmadi, Saba",Q5,ahmadi.saba,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmadi, Samad",Q5,ahmadi.samad,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmed, Chowdhury Farhan",Q5,ahmed.chowdhury-farhan,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmed, Ijaz",Q5,ahmed.ijaz,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmed, Maher",Q5,ahmed.maher,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmed, Naveed",Q5,ahmed.naveed,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmed, N.",Q5,ahmed.naveed,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmed, Naveed",Q5,ahmed.naveed,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahmed, Roman A.",Q5,ahmed.roman-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmed, Sarfraz",Q5,ahmed.sarfraz,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahmed, Tanbir",Q5,ahmed.tanbir,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahn, Jaegeun",Q5,ahn.jaegeun,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahn, Jeaman",Q5,ahn.jeaman,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahn, Sung Joon",Q5,ahn.sung-joon,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahonen, Lauri",Q5,ahonen.lauri,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Ahrendt, Wolfgang",Q5,ahrendt.wolfgang,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahrendt, Wolfgang",Q5,ahrendt.wolfgang,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahuja, Kapil",Q5,ahuja.kapil,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ahuja, Ravindra K.",Q5,ahuja.ravindra-k,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aichernig, Bernhard K.",Q5,aichernig.bernhard-k,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aickelin, Uwe",Q5,aickelin.uwe,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aidun, Cyrus K.",Q5,aidun.cyrus-k,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aiex, Renata M.",Q5,aiex.renata-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aigner, Dennis",Q5,aigner.dennis-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aihara, Kazuyuki",Q5,aihara.kazuyuki,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aiken, Alex",Q5,aiken.alex,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aiko, Masashi",Q5,aiko.masashi,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aimi, A.",Q5,aimi.alessandra,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ainsworth, G. O. jun.",Q5,ainsworth.g-o-jun,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Amrane, Samir Ait",Q5,ait-amrane.samir,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Ait-Haddou, Rachid",Q5,ait-haddou.rachid,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Mohamed, Otmane Ait",Q5,ait-mohamed.otmane,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Aittokallio, T.",Q5,aittokallio.tero,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Aiyoshi, Eitaro",Q5,aiyoshi.eitaro,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Akaiwa, Kanae",Q5,akaiwa.kanae,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Akbarpour, Behzad",Q5,akbarpour.behzad,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Akbarzadeh-T, Mohammad-R.",Q5,akbarzadeh-t.mohammad-r,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Akesson, Johan",Q5,akesson.johan,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Akhmetov, D. R.",Q5,akhmetov.denis-r,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Akhrif, O.",Q5,akhrif.ouassima,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Akimenko, V. V.",Q5,akimenko.vitalii-v,2022-01-27 15:30:29.884880: imported from zbMath Open API
